127.0.0.1 - - [09/Apr/2020:09:54:43 +0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [09/Apr/2020:09:54:44 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:06:37 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:06:37 +0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:00 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:01 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:02 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:02 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:02 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:03 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:03 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:03 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:03 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:03 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:03 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:04 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:04 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:04 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:40 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:40 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:41 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:41 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:41 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:41 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:08:42 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:38 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:38 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:39 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:39 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:39 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:39 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:39 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:40 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:40 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:40 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:40 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:10:41 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1101
